tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_favorite_count,tweet_coordinates,tweet_lang,tweet_place,tweet_retweet_count,tweet_retweeted,tweet_truncated,name,screen_name,location,user_id,statuses_count,followers_count,friends_count,favourites_count,description,retweet_created_at,retweet_id,retweet_text,retweet_source,retweet_favorite_count,retweet_coordinates,retweet_lang,retweet_place,retweet_retweet_count,retweet_retweeted,retweet_truncated
Wed Apr 08 22:19:20 +0000 2020,1248012579735126016,モイ！Androidからキャス配信中 - / スマホぽんこつ https://t.co/PeH6lLiNlA,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",0,,ja,,0,False,False,🍥いとまき🍥,maki_nrs,なるせねこ,790535901239648257,4998,176,170,5411,〜きっと誰よりずるい人〜  本当はドSな永遠にJKしてるらっぱー推してます。⚠リアコです  ぱじゃま( *¯ ꒳ ¯*),,,,,,,,,,,
Wed Apr 08 22:19:20 +0000 2020,1248012581022732288,RT @proandroiddev: Easy navigation in a multi-module Android project by @GaelMarhic #AndroidDev https://t.co/afN640oo3f,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,Asad Mukhtar,asadmukhtar28,,818540384070537217,268,50,792,355,,Wed Apr 08 04:28:39 +0000 2020,1247743131497324545,Easy navigation in a multi-module Android project by @GaelMarhic #AndroidDev https://t.co/afN640oo3f,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",19,,en,,9,False,False
Wed Apr 08 22:19:24 +0000 2020,1248012596881420289,"RT @nunnajmeen: POSLAJU DAH TAK HANTAR PARCELS TO THESE RED ZONES

sorry quality gambar Android.

please RT to let others know @adibahnoor…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,,en,,0,False,False,TAIRIL,airiladha10,"Rawang, Selangor",839586402,94857,392,525,43654,Indescribable.,Wed Apr 08 09:06:19 +0000 2020,1247813009797308417,"POSLAJU DAH TAK HANTAR PARCELS TO THESE RED ZONES

sorry quality gambar Android.

please RT to let others know… https://t.co/u4FSXJC0x1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3096,,en,,5672,False,True
Wed Apr 08 22:19:25 +0000 2020,1248012599712559104,"Nobody cares, he typed, clearly caring. Twitter for Android.","<a href=""https://twitter.com/Jacksbooks"" rel=""nofollow"">Jacksbooks</a>",0,,en,,0,False,False,Jacksfilms_Ebooks,jacksbooks,,943622625338843136,79841,44,3,0,Me me biiiiiiig bot. Not affiliated with @jacksfilms . Account managed by @trash_shitbag,,,,,,,,,,,
Wed Apr 08 22:19:25 +0000 2020,1248012602107514880,"@samosaidso Ya se encuentra disponible, ¿que sistema operativo usa tu celular Android o iOS?","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",0,,es,,0,False,False,Philips México,PhilipsMex,México,1411325856,1996,5064,232,134,"Empresa holandesa enfocada en mejorar la vida de las personas con #innovación en #salud, #estilodevida e #iluminación . #innovationandyou",,,,,,,,,,,
Wed Apr 08 22:19:25 +0000 2020,1248012602254307328,"xHelper Malware Re-Installs After Factory Reset

A mysterious piece of Android malware that re-installs itself on i… https://t.co/5LkJvsjRNr","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",0,,en,,0,False,True,Israel,f1tym1,Cbus,75883265,12340,417,832,5446,"Husband/Dad - Purple Team, Maker, Creator, Thinker.  It can be done, only quit after achievement, then come back and make it better",,,,,,,,,,,
Wed Apr 08 22:19:27 +0000 2020,1248012609074298880,Parece que Samsung se ha dedicado hoy a actualizar sus teléfonos asequibles a Android 10: el Galaxy A10 y el A20e l… https://t.co/CHJQGCP2AJ,"<a href=""https://www.blog2social.com"" rel=""nofollow"">Blog2Social APP</a>",0,,es,,0,False,True,Techy,SamsungTechy,Madrid,1209497224310403072,134,2,5,0,Blog de Noticias,,,,,,,,,,,
Wed Apr 08 22:19:29 +0000 2020,1248012618238853121,"How to Hack Android,windows,ios using easysploit https://t.co/IK7fLXqA2D https://t.co/zCwUhu2dwT","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",0,,en,,0,False,False,CHECKUPDATETV.COM,checkupdatetv,Nigeria,1210335225181593600,1404,586,628,3802,"http://instagram.com/checkupdatetv
...
...
...
...
https://www.checkupdatetv.com",,,,,,,,,,,
Wed Apr 08 22:19:30 +0000 2020,1248012619656527874,RT @discoduro: Estas son las tres nuevas funciones que incluirá WhatsApp para Android https://t.co/7J8P6Dhfpy https://t.co/mmm0XEcSkF,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,es,,0,False,False,Guillermo Yori Parra,Guillermo_Yori,"Bogotá, Colombia",221559286,57330,360,50,76,"De Walt Whitman:

«No dejes que termine el día sin haber crecido un poco, sin haber sido feliz, sin haber aumentado tus sueños»",Wed Apr 08 22:15:01 +0000 2020,1248011493389373440,Estas son las tres nuevas funciones que incluirá WhatsApp para Android https://t.co/7J8P6Dhfpy https://t.co/mmm0XEcSkF,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",0,,es,,1,False,False
Wed Apr 08 22:19:30 +0000 2020,1248012621053194240,"RT @glorifyuu: –how to make digital notes using 2 apps on phone (ios/android).

a thread by glorifyuu. https://t.co/gRTFAgUGUk","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,,en,,0,False,False,April,uurrbby,Indonesia,1014839445491630080,2763,2107,1904,6518,taun ini maba ptn aamiin❤ //FAN ACCOUNT,Wed Apr 08 11:02:59 +0000 2020,1247842371854684160,"–how to make digital notes using 2 apps on phone (ios/android).

a thread by glorifyuu. https://t.co/gRTFAgUGUk","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3056,,en,,781,False,False
